subject_id,condition,mine_choice,feedback,feedback_image,feedback_right,feedback_left,guess,guess_num,mean_left,mean_right,sd,valence,ambiguity,block,time_elapsed,trial_num,trial_num_total,choice_accuracy,guess_accuracy,better_choice
eadna1sb,neutral,1,20,Dirty,20,1,Gold,1,-10,10,10,2,1,1,146217,1,1,1,1,2
eadna1sb,neutral,1,13,Dirty,13,-5,Rocks,0,-10,10,10,2,1,1,152231,2,2,1,0,2
eadna1sb,neutral,0,-11,Dirty,23,-11,Rocks,0,-10,10,10,2,1,1,157718,3,3,0,1,2
eadna1sb,neutral,0,-7,Rocks,2,-7,Rocks,0,-10,10,10,0,0,1,160184,4,4,0,1,2
eadna1sb,neutral,1,18,Gold,18,-14,Gold,1,-10,10,10,1,0,1,163445,5,5,1,1,2
eadna1sb,neutral,1,24,Dirty,24,-1,Gold,1,-10,10,10,2,1,1,167744,6,6,1,1,2
eadna1sb,neutral,1,4,Gold,4,3,Gold,1,-10,10,10,1,0,1,169814,7,7,1,1,2
eadna1sb,neutral,1,-1,Rocks,-1,5,Rocks,0,-10,10,10,0,0,1,171921,8,8,1,1,2
eadna1sb,neutral,1,15,Gold,15,11,Gold,1,-10,10,10,1,0,1,174060,9,9,1,1,2
eadna1sb,neutral,1,10,Dirty,10,12,Rocks,0,-10,10,10,2,1,1,176928,10,10,1,0,2
eadna1sb,poor,0,30,Dirty,-3,30,Rocks,0,10,-10,10,2,1,2,182787,1,11,1,0,1
eadna1sb,poor,0,18,Gold,-11,18,Gold,1,10,-10,10,1,0,2,184867,2,12,1,1,1
eadna1sb,poor,0,8,Dirty,-27,8,Rocks,0,10,-10,10,2,1,2,187781,3,13,1,0,1
eadna1sb,poor,0,-3,Dirty,-9,-3,Gold,1,10,-10,10,2,1,2,190324,4,14,1,0,1
eadna1sb,poor,0,5,Gold,-16,5,Gold,1,10,-10,10,1,0,2,192527,5,15,1,1,1
eadna1sb,poor,0,-3,Dirty,1,-3,Rocks,0,10,-10,10,2,1,2,194894,6,16,1,1,1
eadna1sb,poor,0,12,Gold,-22,12,Gold,1,10,-10,10,1,0,2,196619,7,17,1,1,1
eadna1sb,poor,0,6,Gold,-19,6,Gold,1,10,-10,10,1,0,2,198282,8,18,1,1,1
eadna1sb,poor,0,12,Gold,-13,12,Gold,1,10,-10,10,1,0,2,200793,9,19,1,1,1
eadna1sb,poor,0,2,Dirty,-10,2,Rocks,0,10,-10,10,2,1,2,203043,10,20,1,0,1
eadna1sb,neutral,1,11,Dirty,11,-9,Rocks,0,-10,10,10,2,1,3,206699,1,21,1,0,2
eadna1sb,neutral,1,14,Gold,14,-1,Gold,1,-10,10,10,1,0,3,208470,2,22,1,1,2
eadna1sb,neutral,1,19,Gold,19,-17,Gold,1,-10,10,10,1,0,3,210261,3,23,1,1,2
eadna1sb,neutral,1,3,Dirty,3,-9,Gold,1,-10,10,10,2,1,3,212576,4,24,1,1,2
eadna1sb,neutral,1,3,Dirty,3,5,Gold,1,-10,10,10,2,1,3,214852,5,25,1,1,2
eadna1sb,neutral,1,12,Gold,12,-8,Gold,1,-10,10,10,1,0,3,216466,6,26,1,1,2
eadna1sb,neutral,1,-1,Rocks,-1,-21,Rocks,0,-10,10,10,0,0,3,218966,7,27,1,1,2
eadna1sb,neutral,1,-15,Dirty,-15,-7,Rocks,0,-10,10,10,2,1,3,221793,8,28,1,1,2
eadna1sb,neutral,1,16,Gold,16,-5,Gold,1,-10,10,10,1,0,3,223390,9,29,1,1,2
eadna1sb,neutral,1,6,Dirty,6,-2,Gold,1,-10,10,10,2,1,3,225484,10,30,1,1,2
eadna1sb,poor,0,-10,Dirty,30,-10,Rocks,0,-10,10,10,2,1,4,230339,1,31,0,1,2
eadna1sb,poor,1,6,Gold,6,1,Gold,1,-10,10,10,1,0,4,232406,2,32,1,1,2
eadna1sb,poor,1,15,Gold,15,3,Gold,1,-10,10,10,1,0,4,233919,3,33,1,1,2
eadna1sb,poor,1,16,Dirty,16,-15,Gold,1,-10,10,10,2,1,4,236358,4,34,1,1,2
eadna1sb,poor,1,12,Gold,12,-6,Gold,1,-10,10,10,1,0,4,237838,5,35,1,1,2
eadna1sb,poor,1,15,Dirty,15,-5,Gold,1,-10,10,10,2,1,4,240250,6,36,1,1,2
eadna1sb,poor,1,26,Gold,26,5,Gold,1,-10,10,10,1,0,4,241696,7,37,1,1,2
eadna1sb,poor,1,22,Gold,22,-7,Gold,1,-10,10,10,1,0,4,243032,8,38,1,1,2
eadna1sb,poor,1,-3,Dirty,-3,-29,Rocks,0,-10,10,10,2,1,4,245409,9,39,1,1,2
