feedback,feedback_right,feedback_left,guess_num,mean_left,mean_right,sd,valence,ambiguity,block,time_elapsed,trial_num,trial_num_total,choice_accuracy,guess_accuracy,better_choice,condition_num,subj_num,subj_choice
-3,-3,56,0,20,0,15,0,0,1,239845,1,1,0,1,1,2,1,2
32,21,32,1,20,0,15,1,0,1,244763,2,2,1,1,1,2,1,1
8,7,8,1,20,0,15,2,1,1,250383,3,3,1,1,1,2,1,1
21,-8,21,1,20,0,15,2,1,1,253860,4,4,1,1,1,2,1,1
19,19,-4,1,20,0,15,2,1,1,257319,5,5,0,1,1,2,1,2
20,4,20,1,20,0,15,2,1,1,261052,6,6,1,1,1,2,1,1
5,5,36,0,20,0,15,2,1,1,264452,7,7,0,0,1,2,1,2
27,13,27,1,20,0,15,2,1,1,267158,8,8,1,1,1,2,1,1
43,6,43,1,20,0,15,2,1,1,269885,9,9,1,1,1,2,1,1
18,18,8,0,20,0,15,2,1,1,273303,10,10,0,0,1,2,1,2
12,12,-10,1,0,20,15,1,0,2,279215,1,11,1,1,2,2,1,2
-23,20,-23,0,0,20,15,0,0,2,281367,2,12,0,1,2,2,1,1
19,19,1,1,0,20,15,2,1,2,283290,3,13,1,1,2,2,1,2
14,14,-38,1,0,20,15,2,1,2,285850,4,14,1,1,2,2,1,2
6,35,6,0,0,20,15,2,1,2,288446,5,15,0,0,2,2,1,1
30,30,-5,1,0,20,15,2,1,2,290518,6,16,1,1,2,2,1,2
30,30,-5,1,0,20,15,2,1,2,292633,7,17,1,1,2,2,1,2
18,18,13,1,0,20,15,2,1,2,299682,8,18,1,1,2,2,1,2
11,11,-11,0,0,20,15,2,1,2,303791,9,19,1,0,2,2,1,2
1,42,1,0,0,20,15,2,1,2,310441,10,20,0,0,2,2,1,1
14,-2,14,1,-20,0,15,1,0,3,317995,1,21,0,1,2,1,1,1
-27,28,-27,0,-20,0,15,0,0,3,322115,2,22,0,1,2,1,1,1
-10,-10,-1,1,-20,0,15,2,1,3,324053,3,23,1,0,2,1,1,2
-20,-20,-33,0,-20,0,15,2,1,3,327393,4,24,1,1,2,1,1,2
-20,-3,-20,1,-20,0,15,2,1,3,329634,5,25,0,0,2,1,1,1
16,16,-35,0,-20,0,15,2,1,3,332348,6,26,1,0,2,1,1,2
-21,8,-21,1,-20,0,15,2,1,3,335112,7,27,0,0,2,1,1,1
-16,-3,-16,1,-20,0,15,2,1,3,336912,8,28,0,0,2,1,1,1
17,17,-20,0,-20,0,15,2,1,3,338986,9,29,1,0,2,1,1,2
-38,4,-38,1,-20,0,15,2,1,3,341194,10,30,0,0,2,1,1,1
-9,-9,23,0,10,-10,15,0,0,4,345557,1,31,0,1,1,3,1,2
1,-7,1,1,10,-10,15,1,0,4,347388,2,32,1,1,1,3,1,1
1,-1,1,1,10,-10,15,2,1,4,349350,3,33,1,1,1,3,1,1
5,-15,5,0,10,-10,15,2,1,4,351169,4,34,1,0,1,3,1,1
-42,-42,23,1,10,-10,15,2,1,4,352885,5,35,0,0,1,3,1,2
19,19,1,1,10,-10,15,2,1,4,355658,6,36,0,1,1,3,1,2
9,-10,9,0,10,-10,15,2,1,4,358357,7,37,1,0,1,3,1,1
-21,14,-21,1,10,-10,15,2,1,4,365800,8,38,1,0,1,3,1,1
-28,-28,1,1,10,-10,15,2,1,4,371782,9,39,0,0,1,3,1,2
13,13,24,0,10,-10,15,2,1,4,376767,10,40,0,0,1,3,1,2
8,-6,8,1,0,-20,15,1,0,5,380242,1,41,1,1,1,1,1,1
-32,-32,-20,0,0,-20,15,0,0,5,382801,2,42,0,1,1,1,1,2
3,-30,3,0,0,-20,15,2,1,5,385803,3,43,1,0,1,1,1,1
24,-17,24,1,0,-20,15,2,1,5,388276,4,44,1,1,1,1,1,1
-42,-42,-13,1,0,-20,15,2,1,5,396651,5,45,0,0,1,1,1,2
-2,-4,-2,0,0,-20,15,2,1,5,399128,6,46,1,1,1,1,1,1
-12,-17,-12,1,0,-20,15,2,1,5,401161,7,47,1,0,1,1,1,1
-22,-6,-22,0,0,-20,15,2,1,5,404108,8,48,1,1,1,1,1,1
8,8,12,0,0,-20,15,2,1,5,407250,9,49,0,0,1,1,1,2
-23,-23,-45,0,0,-20,15,2,1,5,409901,10,50,0,1,1,1,1,2
6,-18,6,1,10,-10,15,1,0,6,413528,1,51,1,1,1,3,1,1
-6,-8,-6,0,10,-10,15,0,0,6,415543,2,52,1,1,1,3,1,1
-8,-8,-5,0,10,-10,15,2,1,6,418027,3,53,0,1,1,3,1,2
9,-20,9,0,10,-10,15,2,1,6,421069,4,54,1,0,1,3,1,1
-1,-1,-1,0,10,-10,15,2,1,6,423568,5,55,0,1,1,3,1,2
-9,-33,-9,0,10,-10,15,2,1,6,426511,6,56,1,1,1,3,1,1
8,-6,8,1,10,-10,15,2,1,6,429376,7,57,1,1,1,3,1,1
7,7,9,1,10,-10,15,2,1,6,431731,8,58,0,1,1,3,1,2
12,12,-6,1,10,-10,15,2,1,6,433771,9,59,0,1,1,3,1,2
-3,-3,31,0,10,-10,15,2,1,6,435519,10,60,0,1,1,3,1,2
-13,-13,4,0,0,-20,15,0,0,1,273592,1,1,0,1,1,1,2,2
4,-44,4,1,0,-20,15,1,0,1,281263,2,2,1,1,1,1,2,1
43,-3,43,1,0,-20,15,2,1,1,291211,3,3,1,1,1,1,2,1
1,-23,1,1,0,-20,15,2,1,1,297825,4,4,1,1,1,1,2,1
5,4,5,1,0,-20,15,2,1,1,303722,5,5,1,1,1,1,2,1
2,-26,2,1,0,-20,15,2,1,1,309166,6,6,1,1,1,1,2,1
-30,-25,-30,1,0,-20,15,2,1,1,316647,7,7,1,0,1,1,2,1
-27,-7,-27,1,0,-20,15,2,1,1,322781,8,8,1,0,1,1,2,1
-37,-12,-37,1,0,-20,15,2,1,1,328675,9,9,1,0,1,1,2,1
6,-26,6,1,0,-20,15,2,1,1,336389,10,10,1,1,1,1,2,1
24,-17,24,1,10,-10,15,1,0,2,352782,1,11,1,1,1,3,2,1
14,-5,14,1,10,-10,15,1,0,2,362796,2,12,1,1,1,3,2,1
-7,-13,-7,1,10,-10,15,2,1,2,367413,3,13,1,0,1,3,2,1
24,-28,24,1,10,-10,15,2,1,2,371074,4,14,1,1,1,3,2,1
-1,4,-1,1,10,-10,15,2,1,2,374712,5,15,1,0,1,3,2,1
18,-13,18,1,10,-10,15,2,1,2,379467,6,16,1,1,1,3,2,1
11,1,11,1,10,-10,15,2,1,2,384974,7,17,1,1,1,3,2,1
25,-11,25,1,10,-10,15,2,1,2,390475,8,18,1,1,1,3,2,1
26,-20,26,1,10,-10,15,2,1,2,395364,9,19,1,1,1,3,2,1
20,8,20,1,10,-10,15,2,1,2,400831,10,20,1,1,1,3,2,1
-24,3,-24,0,20,0,15,0,0,3,416238,1,21,1,1,1,2,2,1
23,23,29,1,20,0,15,1,0,3,426600,2,22,0,1,1,2,2,2
5,14,5,1,20,0,15,2,1,3,432723,3,23,1,1,1,2,2,1
25,4,25,1,20,0,15,2,1,3,444481,4,24,1,1,1,2,2,1
19,-12,19,1,20,0,15,2,1,3,448534,5,25,1,1,1,2,2,1
16,2,16,1,20,0,15,2,1,3,453106,6,26,1,1,1,2,2,1
11,8,11,1,20,0,15,2,1,3,456668,7,27,1,1,1,2,2,1
